id,x_m,y_m
0,0.0,0.0
1,22.500000000000004,0.0
2,45.00000000000001,0.0
3,67.50000000000001,0.0
4,90.00000000000001,0.0
5,112.50000000000001,0.0
6,135.00000000000003,0.0
7,120.0,9.999999999999996
8,97.5,9.999999999999996
9,75.0,9.999999999999996
10,52.5,9.999999999999996
11,30.0,9.999999999999996
12,7.5,9.999999999999996
13,-15.0,9.999999999999996
14,0.0,19.999999999999993
15,22.500000000000004,19.999999999999993
16,45.00000000000001,19.999999999999993
17,67.50000000000001,19.999999999999993
18,90.00000000000001,19.999999999999993
19,112.50000000000001,19.999999999999993
20,135.00000000000003,19.999999999999993
21,120.0,29.99999999999999
22,97.5,29.99999999999999
23,75.0,29.99999999999999
24,52.5,29.99999999999999
25,30.0,29.99999999999999
26,7.5,29.99999999999999
27,-15.0,29.99999999999999
28,0.0,39.999999999999986
29,22.500000000000004,39.999999999999986
30,45.00000000000001,39.999999999999986
31,67.50000000000001,39.999999999999986
32,90.00000000000001,39.999999999999986
33,112.50000000000001,39.999999999999986
34,135.00000000000003,39.999999999999986
35,120.0,49.999999999999986
36,97.5,49.999999999999986
37,75.0,49.999999999999986
38,52.5,49.999999999999986
39,30.0,49.999999999999986
40,7.5,49.999999999999986
41,-15.0,49.999999999999986
42,0.0,59.99999999999998
43,22.500000000000004,59.99999999999998
44,45.00000000000001,59.99999999999998
45,67.50000000000001,59.99999999999998
46,90.00000000000001,59.99999999999998
47,112.50000000000001,59.99999999999998
48,135.00000000000003,59.99999999999998
49,120.0,69.99999999999997
50,97.5,69.99999999999997
51,75.0,69.99999999999997
52,52.5,69.99999999999997
53,30.0,69.99999999999997
54,7.5,69.99999999999997
55,-15.0,69.99999999999997
56,0.0,79.99999999999997
57,22.500000000000004,79.99999999999997
58,45.00000000000001,79.99999999999997
59,67.50000000000001,79.99999999999997
60,90.00000000000001,79.99999999999997
61,112.50000000000001,79.99999999999997
62,135.00000000000003,79.99999999999997
63,120.0,89.99999999999997
64,97.5,89.99999999999997
65,75.0,89.99999999999997
66,52.5,89.99999999999997
67,30.0,89.99999999999997
68,7.5,89.99999999999997
69,-15.0,89.99999999999997
