cell_id,row,col,center_x,center_z,feature_density_norm,uncertainty
0,0,0,-23.046348278625445,-32.83299329305304,0.0,1.0
1,0,1,-22.046348278625445,-32.83299329305304,0.0,1.0
2,0,2,-21.046348278625445,-32.83299329305304,0.0,1.0
3,0,3,-20.046348278625445,-32.83299329305304,0.0,1.0
4,0,4,-19.046348278625445,-32.83299329305304,0.0,1.0
5,0,5,-18.046348278625445,-32.83299329305304,0.0,1.0
6,0,6,-17.046348278625445,-32.83299329305304,0.0,1.0
7,0,7,-16.046348278625445,-32.83299329305304,0.0,1.0
8,0,8,-15.046348278625445,-32.83299329305304,0.0,1.0
9,0,9,-14.046348278625445,-32.83299329305304,0.0,1.0
10,0,10,-13.046348278625445,-32.83299329305304,0.0,1.0
11,0,11,-12.046348278625445,-32.83299329305304,0.0,1.0
12,0,12,-11.046348278625445,-32.83299329305304,0.0,1.0
13,0,13,-10.046348278625445,-32.83299329305304,0.0,1.0
14,0,14,-9.046348278625445,-32.83299329305304,0.0,1.0
15,0,15,-8.046348278625445,-32.83299329305304,0.0,1.0
16,0,16,-7.0463482786254446,-32.83299329305304,0.0,1.0
17,0,17,-6.0463482786254446,-32.83299329305304,0.0,1.0
18,0,18,-5.0463482786254446,-32.83299329305304,0.0,1.0
19,0,19,-4.0463482786254446,-32.83299329305304,0.0,1.0
20,0,20,-3.0463482786254446,-32.83299329305304,0.0,1.0
21,0,21,-2.0463482786254446,-32.83299329305304,0.0,1.0
22,0,22,-1.0463482786254446,-32.83299329305304,0.0,1.0
23,0,23,-0.04634827862544455,-32.83299329305304,0.0,1.0
24,0,24,0.9536517213745554,-32.83299329305304,0.0,1.0
25,0,25,1.9536517213745554,-32.83299329305304,0.0,1.0
26,0,26,2.9536517213745554,-32.83299329305304,0.0,1.0
27,0,27,3.9536517213745554,-32.83299329305304,0.0,1.0
28,0,28,4.9536517213745554,-32.83299329305304,0.0,1.0
29,0,29,5.9536517213745554,-32.83299329305304,0.0,1.0
30,0,30,6.9536517213745554,-32.83299329305304,0.0,1.0
31,1,0,-23.046348278625445,-31.832993293053043,0.0,1.0
32,1,1,-22.046348278625445,-31.832993293053043,0.0,1.0
33,1,2,-21.046348278625445,-31.832993293053043,0.0,1.0
34,1,3,-20.046348278625445,-31.832993293053043,0.0,1.0
35,1,4,-19.046348278625445,-31.832993293053043,0.0,1.0
36,1,5,-18.046348278625445,-31.832993293053043,0.0,1.0
37,1,6,-17.046348278625445,-31.832993293053043,0.0,1.0
38,1,7,-16.046348278625445,-31.832993293053043,0.0,1.0
39,1,8,-15.046348278625445,-31.832993293053043,0.0,1.0
40,1,9,-14.046348278625445,-31.832993293053043,0.0,1.0
41,1,10,-13.046348278625445,-31.832993293053043,0.0,1.0
42,1,11,-12.046348278625445,-31.832993293053043,0.0,1.0
43,1,12,-11.046348278625445,-31.832993293053043,0.0,1.0
44,1,13,-10.046348278625445,-31.832993293053043,0.0,1.0
45,1,14,-9.046348278625445,-31.832993293053043,0.0,1.0
46,1,15,-8.046348278625445,-31.832993293053043,0.0,1.0
47,1,16,-7.0463482786254446,-31.832993293053043,0.0,1.0
48,1,17,-6.0463482786254446,-31.832993293053043,0.0,1.0
49,1,18,-5.0463482786254446,-31.832993293053043,0.0,1.0
50,1,19,-4.0463482786254446,-31.832993293053043,0.0,1.0
51,1,20,-3.0463482786254446,-31.832993293053043,0.0,1.0
52,1,21,-2.0463482786254446,-31.832993293053043,0.0,1.0
53,1,22,-1.0463482786254446,-31.832993293053043,0.0,1.0
54,1,23,-0.04634827862544455,-31.832993293053043,0.0,1.0
55,1,24,0.9536517213745554,-31.832993293053043,0.0,1.0
56,1,25,1.9536517213745554,-31.832993293053043,0.0,1.0
57,1,26,2.9536517213745554,-31.832993293053043,0.0,1.0
58,1,27,3.9536517213745554,-31.832993293053043,0.0,1.0
59,1,28,4.9536517213745554,-31.832993293053043,0.0,1.0
60,1,29,5.9536517213745554,-31.832993293053043,0.0,1.0
61,1,30,6.9536517213745554,-31.832993293053043,0.0,1.0
62,2,0,-23.046348278625445,-30.832993293053043,0.0,1.0
63,2,1,-22.046348278625445,-30.832993293053043,0.0,1.0
64,2,2,-21.046348278625445,-30.832993293053043,0.0,1.0
65,2,3,-20.046348278625445,-30.832993293053043,0.0,1.0
66,2,4,-19.046348278625445,-30.832993293053043,0.0,1.0
67,2,5,-18.046348278625445,-30.832993293053043,0.0,1.0
68,2,6,-17.046348278625445,-30.832993293053043,0.0,1.0
69,2,7,-16.046348278625445,-30.832993293053043,0.0,1.0
70,2,8,-15.046348278625445,-30.832993293053043,0.0,1.0
71,2,9,-14.046348278625445,-30.832993293053043,0.0,1.0
72,2,10,-13.046348278625445,-30.832993293053043,0.0,1.0
73,2,11,-12.046348278625445,-30.832993293053043,0.0,1.0
74,2,12,-11.046348278625445,-30.832993293053043,0.0,1.0
75,2,13,-10.046348278625445,-30.832993293053043,0.0,1.0
76,2,14,-9.046348278625445,-30.832993293053043,0.0,1.0
77,2,15,-8.046348278625445,-30.832993293053043,0.0,1.0
78,2,16,-7.0463482786254446,-30.832993293053043,0.0,1.0
79,2,17,-6.0463482786254446,-30.832993293053043,0.0,1.0
80,2,18,-5.0463482786254446,-30.832993293053043,0.0,1.0
81,2,19,-4.0463482786254446,-30.832993293053043,0.0,1.0
82,2,20,-3.0463482786254446,-30.832993293053043,0.0,1.0
83,2,21,-2.0463482786254446,-30.832993293053043,0.0,1.0
84,2,22,-1.0463482786254446,-30.832993293053043,0.0,1.0
85,2,23,-0.04634827862544455,-30.832993293053043,0.0,1.0
86,2,24,0.9536517213745554,-30.832993293053043,0.0,1.0
87,2,25,1.9536517213745554,-30.832993293053043,0.0,1.0
88,2,26,2.9536517213745554,-30.832993293053043,0.0,1.0
89,2,27,3.9536517213745554,-30.832993293053043,0.0,1.0
90,2,28,4.9536517213745554,-30.832993293053043,0.0,1.0
91,2,29,5.9536517213745554,-30.832993293053043,0.0,1.0
92,2,30,6.9536517213745554,-30.832993293053043,0.0,1.0
93,3,0,-23.046348278625445,-29.832993293053043,0.0,1.0
94,3,1,-22.046348278625445,-29.832993293053043,0.0,1.0
95,3,2,-21.046348278625445,-29.832993293053043,0.0,1.0
96,3,3,-20.046348278625445,-29.832993293053043,0.0,1.0
97,3,4,-19.046348278625445,-29.832993293053043,0.0,1.0
98,3,5,-18.046348278625445,-29.832993293053043,0.0,1.0
99,3,6,-17.046348278625445,-29.832993293053043,0.0,1.0
100,3,7,-16.046348278625445,-29.832993293053043,0.0,1.0
101,3,8,-15.046348278625445,-29.832993293053043,0.0,1.0
102,3,9,-14.046348278625445,-29.832993293053043,0.0,1.0
103,3,10,-13.046348278625445,-29.832993293053043,0.0,1.0
104,3,11,-12.046348278625445,-29.832993293053043,0.0,1.0
105,3,12,-11.046348278625445,-29.832993293053043,0.0,1.0
106,3,13,-10.046348278625445,-29.832993293053043,0.0,1.0
107,3,14,-9.046348278625445,-29.832993293053043,0.0,1.0
108,3,15,-8.046348278625445,-29.832993293053043,0.0,1.0
109,3,16,-7.0463482786254446,-29.832993293053043,0.0,1.0
110,3,17,-6.0463482786254446,-29.832993293053043,0.9642857142857143,0.0357142857142857
111,3,18,-5.0463482786254446,-29.832993293053043,0.0,1.0
112,3,19,-4.0463482786254446,-29.832993293053043,0.0,1.0
