cell_id,row,col,center_x,center_z,covered
89,2,27,3.9536517213745554,-30.832993293053043,1
90,2,28,4.9536517213745554,-30.832993293053043,0
91,2,29,5.9536517213745554,-30.832993293053043,0
92,2,30,6.9536517213745554,-30.832993293053043,0
93,3,0,-23.046348278625445,-29.832993293053043,0
94,3,1,-22.046348278625445,-29.832993293053043,0
95,3,2,-21.046348278625445,-29.832993293053043,0
96,3,3,-20.046348278625445,-29.832993293053043,0
97,3,4,-19.046348278625445,-29.832993293053043,0
98,3,5,-18.046348278625445,-29.832993293053043,0
99,3,6,-17.046348278625445,-29.832993293053043,0
100,3,7,-16.046348278625445,-29.832993293053043,0
101,3,8,-15.046348278625445,-29.832993293053043,0
102,3,9,-14.046348278625445,-29.832993293053043,0
103,3,10,-13.046348278625445,-29.832993293053043,0
104,3,11,-12.046348278625445,-29.832993293053043,0
105,3,12,-11.046348278625445,-29.832993293053043,0
106,3,13,-10.046348278625445,-29.832993293053043,0
107,3,14,-9.046348278625445,-29.832993293053043,0
108,3,15,-8.046348278625445,-29.832993293053043,1
109,3,16,-7.0463482786254446,-29.832993293053043,1
110,3,17,-6.0463482786254446,-29.832993293053043,1
111,3,18,-5.0463482786254446,-29.832993293053043,1
112,3,19,-4.0463482786254446,-29.832993293053043,0
113,3,20,-3.0463482786254446,-29.832993293053043,1
114,3,21,-2.0463482786254446,-29.832993293053043,1
115,3,22,-1.0463482786254446,-29.832993293053043,0
116,3,23,-0.04634827862544455,-29.832993293053043,0
117,3,24,0.9536517213745554,-29.832993293053043,0
118,3,25,1.9536517213745554,-29.832993293053043,1
119,3,26,2.9536517213745554,-29.832993293053043,1
120,3,27,3.9536517213745554,-29.832993293053043,1
121,3,28,4.9536517213745554,-29.832993293053043,1
122,3,29,5.9536517213745554,-29.832993293053043,0
123,3,30,6.9536517213745554,-29.832993293053043,0
124,4,0,-23.046348278625445,-28.832993293053043,0
125,4,1,-22.046348278625445,-28.832993293053043,0
126,4,2,-21.046348278625445,-28.832993293053043,0
127,4,3,-20.046348278625445,-28.832993293053043,0
128,4,4,-19.046348278625445,-28.832993293053043,0
129,4,5,-18.046348278625445,-28.832993293053043,0
130,4,6,-17.046348278625445,-28.832993293053043,0
131,4,7,-16.046348278625445,-28.832993293053043,0
132,4,8,-15.046348278625445,-28.832993293053043,0
133,4,9,-14.046348278625445,-28.832993293053043,0
134,4,10,-13.046348278625445,-28.832993293053043,0
135,4,11,-12.046348278625445,-28.832993293053043,0
136,4,12,-11.046348278625445,-28.832993293053043,1
137,4,13,-10.046348278625445,-28.832993293053043,1
138,4,14,-9.046348278625445,-28.832993293053043,1
139,4,15,-8.046348278625445,-28.832993293053043,1
140,4,16,-7.0463482786254446,-28.832993293053043,1
141,4,17,-6.0463482786254446,-28.832993293053043,1
142,4,18,-5.0463482786254446,-28.832993293053043,1
143,4,19,-4.0463482786254446,-28.832993293053043,1
144,4,20,-3.0463482786254446,-28.832993293053043,1
145,4,21,-2.0463482786254446,-28.832993293053043,1
146,4,22,-1.0463482786254446,-28.832993293053043,1
147,4,23,-0.04634827862544455,-28.832993293053043,1
148,4,24,0.9536517213745554,-28.832993293053043,1
149,4,25,1.9536517213745554,-28.832993293053043,1
150,4,26,2.9536517213745554,-28.832993293053043,1
151,4,27,3.9536517213745554,-28.832993293053043,1
152,4,28,4.9536517213745554,-28.832993293053043,1
153,4,29,5.9536517213745554,-28.832993293053043,0
154,4,30,6.9536517213745554,-28.832993293053043,0
155,5,0,-23.046348278625445,-27.832993293053043,0
156,5,1,-22.046348278625445,-27.832993293053043,0
157,5,2,-21.046348278625445,-27.832993293053043,0
158,5,3,-20.046348278625445,-27.832993293053043,0
159,5,4,-19.046348278625445,-27.832993293053043,0
160,5,5,-18.046348278625445,-27.832993293053043,1
161,5,6,-17.046348278625445,-27.832993293053043,1
162,5,7,-16.046348278625445,-27.832993293053043,1
163,5,8,-15.046348278625445,-27.832993293053043,1
164,5,9,-14.046348278625445,-27.832993293053043,0
165,5,10,-13.046348278625445,-27.832993293053043,0
166,5,11,-12.046348278625445,-27.832993293053043,0
167,5,12,-11.046348278625445,-27.832993293053043,1
168,5,13,-10.046348278625445,-27.832993293053043,1
169,5,14,-9.046348278625445,-27.832993293053043,1
170,5,15,-8.046348278625445,-27.832993293053043,1
171,5,16,-7.0463482786254446,-27.832993293053043,1
172,5,17,-6.0463482786254446,-27.832993293053043,1
173,5,18,-5.0463482786254446,-27.832993293053043,1
174,5,19,-4.0463482786254446,-27.832993293053043,1
175,5,20,-3.0463482786254446,-27.832993293053043,1
176,5,21,-2.0463482786254446,-27.832993293053043,1
177,5,22,-1.0463482786254446,-27.832993293053043,1
178,5,23,-0.04634827862544455,-27.832993293053043,1
179,5,24,0.9536517213745554,-27.832993293053043,1
180,5,25,1.9536517213745554,-27.832993293053043,1
181,5,26,2.9536517213745554,-27.832993293053043,1
182,5,27,3.9536517213745554,-27.832993293053043,1
183,5,28,4.9536517213745554,-27.832993293053043,1
184,5,29,5.9536517213745554,-27.832993293053043,0
185,5,30,6.9536517213745554,-27.832993293053043,0
186,6,0,-23.046348278625445,-26.832993293053043,0
187,6,1,-22.046348278625445,-26.832993293053043,0
188,6,2,-21.046348278625445,-26.832993293053043,0
189,6,3,-20.046348278625445,-26.832993293053043,0
190,6,4,-19.046348278625445,-26.832993293053043,1
191,6,5,-18.046348278625445,-26.832993293053043,1
192,6,6,-17.046348278625445,-26.832993293053043,1
193,6,7,-16.046348278625445,-26.832993293053043,1
194,6,8,-15.046348278625445,-26.832993293053043,1
195,6,9,-14.046348278625445,-26.832993293053043,1
196,6,10,-13.046348278625445,-26.832993293053043,0
197,6,11,-12.046348278625445,-26.832993293053043,1
198,6,12,-11.046348278625445,-26.832993293053043,1
199,6,13,-10.046348278625445,-26.832993293053043,1
200,6,14,-9.046348278625445,-26.832993293053043,1
201,6,15,-8.046348278625445,-26.832993293053043,1
202,6,16,-7.0463482786254446,-26.832993293053043,1
203,6,17,-6.0463482786254446,-26.832993293053043,1
204,6,18,-5.0463482786254446,-26.832993293053043,1
205,6,19,-4.0463482786254446,-26.832993293053043,1
206,6,20,-3.0463482786254446,-26.832993293053043,1
207,6,21,-2.0463482786254446,-26.832993293053043,1
208,6,22,-1.0463482786254446,-26.832993293053043,1
209,6,23,-0.04634827862544455,-26.832993293053043,1
210,6,24,0.9536517213745554,-26.832993293053043,1
211,6,25,1.9536517213745554,-26.832993293053043,1
212,6,26,2.9536517213745554,-26.832993293053043,1
213,6,27,3.9536517213745554,-26.832993293053043,1
214,6,28,4.9536517213745554,-26.832993293053043,1
215,6,29,5.9536517213745554,-26.832993293053043,0
216,6,30,6.9536517213745554,-26.832993293053043,0
217,7,0,-23.046348278625445,-25.832993293053043,0
218,7,1,-22.046348278625445,-25.832993293053043,0
219,7,2,-21.046348278625445,-25.832993293053043,0
220,7,3,-20.046348278625445,-25.832993293053043,0
221,7,4,-19.046348278625445,-25.832993293053043,1
222,7,5,-18.046348278625445,-25.832993293053043,1
223,7,6,-17.046348278625445,-25.832993293053043,1
224,7,7,-16.046348278625445,-25.832993293053043,1
225,7,8,-15.046348278625445,-25.832993293053043,1
226,7,9,-14.046348278625445,-25.832993293053043,1
227,7,10,-13.046348278625445,-25.832993293053043,1
228,7,11,-12.046348278625445,-25.832993293053043,1
229,7,12,-11.046348278625445,-25.832993293053043,1
230,7,13,-10.046348278625445,-25.832993293053043,1
231,7,14,-9.046348278625445,-25.832993293053043,0
232,7,15,-8.046348278625445,-25.832993293053043,1
233,7,16,-7.0463482786254446,-25.832993293053043,1
234,7,17,-6.0463482786254446,-25.832993293053043,1
235,7,18,-5.0463482786254446,-25.832993293053043,1
236,7,19,-4.0463482786254446,-25.832993293053043,1
237,7,20,-3.0463482786254446,-25.832993293053043,1
238,7,21,-2.0463482786254446,-25.832993293053043,1
239,7,22,-1.0463482786254446,-25.832993293053043,1
240,7,23,-0.04634827862544455,-25.832993293053043,1
241,7,24,0.9536517213745554,-25.832993293053043,0
242,7,25,1.9536517213745554,-25.832993293053043,1
243,7,26,2.9536517213745554,-25.832993293053043,1
244,7,27,3.9536517213745554,-25.832993293053043,1
245,7,28,4.9536517213745554,-25.832993293053043,0
246,7,29,5.9536517213745554,-25.832993293053043,0
247,7,30,6.9536517213745554,-25.832993293053043,0
248,8,0,-23.046348278625445,-24.832993293053043,0
249,8,1,-22.046348278625445,-24.832993293053043,0
250,8,2,-21.046348278625445,-24.832993293053043,0
251,8,3,-20.046348278625445,-24.832993293053043,0
252,8,4,-19.046348278625445,-24.832993293053043,1
253,8,5,-18.046348278625445,-24.832993293053043,1
254,8,6,-17.046348278625445,-24.832993293053043,1
255,8,7,-16.046348278625445,-24.832993293053043,1
256,8,8,-15.046348278625445,-24.832993293053043,1
257,8,9,-14.046348278625445,-24.832993293053043,1
258,8,10,-13.046348278625445,-24.832993293053043,1
259,8,11,-12.046348278625445,-24.832993293053043,1
260,8,12,-11.046348278625445,-24.832993293053043,1
261,8,13,-10.046348278625445,-24.832993293053043,1
262,8,14,-9.046348278625445,-24.832993293053043,0
263,8,15,-8.046348278625445,-24.832993293053043,1
264,8,16,-7.0463482786254446,-24.832993293053043,1
265,8,17,-6.0463482786254446,-24.832993293053043,1
266,8,18,-5.0463482786254446,-24.832993293053043,1
267,8,19,-4.0463482786254446,-24.832993293053043,0
268,8,20,-3.0463482786254446,-24.832993293053043,0
269,8,21,-2.0463482786254446,-24.832993293053043,0
270,8,22,-1.0463482786254446,-24.832993293053043,0
271,8,23,-0.04634827862544455,-24.832993293053043,0
272,8,24,0.9536517213745554,-24.832993293053043,0
273,8,25,1.9536517213745554,-24.832993293053043,1
274,8,26,2.9536517213745554,-24.832993293053043,1
275,8,27,3.9536517213745554,-24.832993293053043,1
276,8,28,4.9536517213745554,-24.832993293053043,0
277,8,29,5.9536517213745554,-24.832993293053043,0
278,8,30,6.9536517213745554,-24.832993293053043,0
279,9,0,-23.046348278625445,-23.832993293053043,0
280,9,1,-22.046348278625445,-23.832993293053043,0
281,9,2,-21.046348278625445,-23.832993293053043,0
282,9,3,-20.046348278625445,-23.832993293053043,1
283,9,4,-19.046348278625445,-23.832993293053043,0
284,9,5,-18.046348278625445,-23.832993293053043,1
285,9,6,-17.046348278625445,-23.832993293053043,1
286,9,7,-16.046348278625445,-23.832993293053043,1
287,9,8,-15.046348278625445,-23.832993293053043,1
288,9,9,-14.046348278625445,-23.832993293053043,1
289,9,10,-13.046348278625445,-23.832993293053043,1
290,9,11,-12.046348278625445,-23.832993293053043,1
291,9,12,-11.046348278625445,-23.832993293053043,1
292,9,13,-10.046348278625445,-23.832993293053043,1
293,9,14,-9.046348278625445,-23.832993293053043,0
294,9,15,-8.046348278625445,-23.832993293053043,0
295,9,16,-7.0463482786254446,-23.832993293053043,1
296,9,17,-6.0463482786254446,-23.832993293053043,1
297,9,18,-5.0463482786254446,-23.832993293053043,0
298,9,19,-4.0463482786254446,-23.832993293053043,0
299,9,20,-3.0463482786254446,-23.832993293053043,0
300,9,21,-2.0463482786254446,-23.832993293053043,0
301,9,22,-1.0463482786254446,-23.832993293053043,0
302,9,23,-0.04634827862544455,-23.832993293053043,0
303,9,24,0.9536517213745554,-23.832993293053043,1
304,9,25,1.9536517213745554,-23.832993293053043,1
305,9,26,2.9536517213745554,-23.832993293053043,1
306,9,27,3.9536517213745554,-23.832993293053043,0
307,9,28,4.9536517213745554,-23.832993293053043,0
308,9,29,5.9536517213745554,-23.832993293053043,0
309,9,30,6.9536517213745554,-23.832993293053043,0
310,10,0,-23.046348278625445,-22.832993293053043,0
311,10,1,-22.046348278625445,-22.832993293053043,1
312,10,2,-21.046348278625445,-22.832993293053043,1
313,10,3,-20.046348278625445,-22.832993293053043,1
314,10,4,-19.046348278625445,-22.832993293053043,1
315,10,5,-18.046348278625445,-22.832993293053043,1
316,10,6,-17.046348278625445,-22.832993293053043,1
317,10,7,-16.046348278625445,-22.832993293053043,1
318,10,8,-15.046348278625445,-22.832993293053043,1
319,10,9,-14.046348278625445,-22.832993293053043,1
320,10,10,-13.046348278625445,-22.832993293053043,1
321,10,11,-12.046348278625445,-22.832993293053043,1
322,10,12,-11.046348278625445,-22.832993293053043,1
323,10,13,-10.046348278625445,-22.832993293053043,1
324,10,14,-9.046348278625445,-22.832993293053043,0
325,10,15,-8.046348278625445,-22.832993293053043,0
326,10,16,-7.0463482786254446,-22.832993293053043,0
327,10,17,-6.0463482786254446,-22.832993293053043,0
328,10,18,-5.0463482786254446,-22.832993293053043,0
329,10,19,-4.0463482786254446,-22.832993293053043,0
330,10,20,-3.0463482786254446,-22.832993293053043,0
331,10,21,-2.0463482786254446,-22.832993293053043,0
332,10,22,-1.0463482786254446,-22.832993293053043,0
333,10,23,-0.04634827862544455,-22.832993293053043,0
334,10,24,0.9536517213745554,-22.832993293053043,1
335,10,25,1.9536517213745554,-22.832993293053043,1
336,10,26,2.9536517213745554,-22.832993293053043,1
337,10,27,3.9536517213745554,-22.832993293053043,0
338,10,28,4.9536517213745554,-22.832993293053043,0
339,10,29,5.9536517213745554,-22.832993293053043,0
340,10,30,6.9536517213745554,-22.832993293053043,0
341,11,0,-23.046348278625445,-21.832993293053043,0
342,11,1,-22.046348278625445,-21.832993293053043,1
343,11,2,-21.046348278625445,-21.832993293053043,1
344,11,3,-20.046348278625445,-21.832993293053043,1
345,11,4,-19.046348278625445,-21.832993293053043,1
346,11,5,-18.046348278625445,-21.832993293053043,1
347,11,6,-17.046348278625445,-21.832993293053043,1
348,11,7,-16.046348278625445,-21.832993293053043,1
349,11,8,-15.046348278625445,-21.832993293053043,1
350,11,9,-14.046348278625445,-21.832993293053043,1
351,11,10,-13.046348278625445,-21.832993293053043,1
352,11,11,-12.046348278625445,-21.832993293053043,1
353,11,12,-11.046348278625445,-21.832993293053043,1
354,11,13,-10.046348278625445,-21.832993293053043,1
355,11,14,-9.046348278625445,-21.832993293053043,0
356,11,15,-8.046348278625445,-21.832993293053043,0
357,11,16,-7.0463482786254446,-21.832993293053043,0
358,11,17,-6.0463482786254446,-21.832993293053043,0
359,11,18,-5.0463482786254446,-21.832993293053043,0
360,11,19,-4.0463482786254446,-21.832993293053043,0
361,11,20,-3.0463482786254446,-21.832993293053043,0
362,11,21,-2.0463482786254446,-21.832993293053043,0
363,11,22,-1.0463482786254446,-21.832993293053043,0
364,11,23,-0.04634827862544455,-21.832993293053043,1
365,11,24,0.9536517213745554,-21.832993293053043,1
366,11,25,1.9536517213745554,-21.832993293053043,1
367,11,26,2.9536517213745554,-21.832993293053043,1
368,11,27,3.9536517213745554,-21.832993293053043,0
369,11,28,4.9536517213745554,-21.832993293053043,0
370,11,29,5.9536517213745554,-21.832993293053043,0
371,11,30,6.9536517213745554,-21.832993293053043,0
372,12,0,-23.046348278625445,-20.832993293053043,0
373,12,1,-22.046348278625445,-20.832993293053043,1
374,12,2,-21.046348278625445,-20.832993293053043,1
375,12,3,-20.046348278625445,-20.832993293053043,1
376,12,4,-19.046348278625445,-20.832993293053043,1
377,12,5,-18.046348278625445,-20.832993293053043,1
378,12,6,-17.046348278625445,-20.832993293053043,1
379,12,7,-16.046348278625445,-20.832993293053043,1
380,12,8,-15.046348278625445,-20.832993293053043,1
381,12,9,-14.046348278625445,-20.832993293053043,1
382,12,10,-13.046348278625445,-20.832993293053043,1
383,12,11,-12.046348278625445,-20.832993293053043,1
384,12,12,-11.046348278625445,-20.832993293053043,1
385,12,13,-10.046348278625445,-20.832993293053043,0
386,12,14,-9.046348278625445,-20.832993293053043,0
387,12,15,-8.046348278625445,-20.832993293053043,0
388,12,16,-7.0463482786254446,-20.832993293053043,0
389,12,17,-6.0463482786254446,-20.832993293053043,0
390,12,18,-5.0463482786254446,-20.832993293053043,0
391,12,19,-4.0463482786254446,-20.832993293053043,0
392,12,20,-3.0463482786254446,-20.832993293053043,0
393,12,21,-2.0463482786254446,-20.832993293053043,0
394,12,22,-1.0463482786254446,-20.832993293053043,0
395,12,23,-0.04634827862544455,-20.832993293053043,1
396,12,24,0.9536517213745554,-20.832993293053043,1
397,12,25,1.9536517213745554,-20.832993293053043,1
398,12,26,2.9536517213745554,-20.832993293053043,0
399,12,27,3.9536517213745554,-20.832993293053043,0
400,12,28,4.9536517213745554,-20.832993293053043,0
401,12,29,5.9536517213745554,-20.832993293053043,0
402,12,30,6.9536517213745554,-20.832993293053043,0
403,13,0,-23.046348278625445,-19.832993293053043,0
404,13,1,-22.046348278625445,-19.832993293053043,0
405,13,2,-21.046348278625445,-19.832993293053043,1
406,13,3,-20.046348278625445,-19.832993293053043,1
407,13,4,-19.046348278625445,-19.832993293053043,1
408,13,5,-18.046348278625445,-19.832993293053043,1
409,13,6,-17.046348278625445,-19.832993293053043,1
410,13,7,-16.046348278625445,-19.832993293053043,1
411,13,8,-15.046348278625445,-19.832993293053043,1
412,13,9,-14.046348278625445,-19.832993293053043,0
413,13,10,-13.046348278625445,-19.832993293053043,0
414,13,11,-12.046348278625445,-19.832993293053043,0
415,13,12,-11.046348278625445,-19.832993293053043,0
416,13,13,-10.046348278625445,-19.832993293053043,0
417,13,14,-9.046348278625445,-19.832993293053043,0
418,13,15,-8.046348278625445,-19.832993293053043,0
419,13,16,-7.0463482786254446,-19.832993293053043,0
420,13,17,-6.0463482786254446,-19.832993293053043,0
421,13,18,-5.0463482786254446,-19.832993293053043,0
422,13,19,-4.0463482786254446,-19.832993293053043,0
423,13,20,-3.0463482786254446,-19.832993293053043,0
424,13,21,-2.0463482786254446,-19.832993293053043,0
425,13,22,-1.0463482786254446,-19.832993293053043,0
426,13,23,-0.04634827862544455,-19.832993293053043,1
427,13,24,0.9536517213745554,-19.832993293053043,1
428,13,25,1.9536517213745554,-19.832993293053043,1
429,13,26,2.9536517213745554,-19.832993293053043,0
430,13,27,3.9536517213745554,-19.832993293053043,0
431,13,28,4.9536517213745554,-19.832993293053043,0
432,13,29,5.9536517213745554,-19.832993293053043,0
433,13,30,6.9536517213745554,-19.832993293053043,0
434,14,0,-23.046348278625445,-18.832993293053043,0
435,14,1,-22.046348278625445,-18.832993293053043,0
436,14,2,-21.046348278625445,-18.832993293053043,1
437,14,3,-20.046348278625445,-18.832993293053043,1
438,14,4,-19.046348278625445,-18.832993293053043,1
439,14,5,-18.046348278625445,-18.832993293053043,1
440,14,6,-17.046348278625445,-18.832993293053043,1
441,14,7,-16.046348278625445,-18.832993293053043,1
442,14,8,-15.046348278625445,-18.832993293053043,0
443,14,9,-14.046348278625445,-18.832993293053043,0
444,14,10,-13.046348278625445,-18.832993293053043,0
445,14,11,-12.046348278625445,-18.832993293053043,0
446,14,12,-11.046348278625445,-18.832993293053043,0
447,14,13,-10.046348278625445,-18.832993293053043,0
448,14,14,-9.046348278625445,-18.832993293053043,0
449,14,15,-8.046348278625445,-18.832993293053043,0
450,14,16,-7.0463482786254446,-18.832993293053043,0
451,14,17,-6.0463482786254446,-18.832993293053043,0
452,14,18,-5.0463482786254446,-18.832993293053043,0
453,14,19,-4.0463482786254446,-18.832993293053043,0
454,14,20,-3.0463482786254446,-18.832993293053043,0
455,14,21,-2.0463482786254446,-18.832993293053043,0
456,14,22,-1.0463482786254446,-18.832993293053043,1
457,14,23,-0.04634827862544455,-18.832993293053043,1
458,14,24,0.9536517213745554,-18.832993293053043,1
459,14,25,1.9536517213745554,-18.832993293053043,0
460,14,26,2.9536517213745554,-18.832993293053043,0
461,14,27,3.9536517213745554,-18.832993293053043,0
462,14,28,4.9536517213745554,-18.832993293053043,0
463,14,29,5.9536517213745554,-18.832993293053043,0
464,14,30,6.9536517213745554,-18.832993293053043,0
465,15,0,-23.046348278625445,-17.832993293053043,0
466,15,1,-22.046348278625445,-17.832993293053043,0
467,15,2,-21.046348278625445,-17.832993293053043,1
468,15,3,-20.046348278625445,-17.832993293053043,1
469,15,4,-19.046348278625445,-17.832993293053043,1
470,15,5,-18.046348278625445,-17.832993293053043,1
471,15,6,-17.046348278625445,-17.832993293053043,1
472,15,7,-16.046348278625445,-17.832993293053043,0
473,15,8,-15.046348278625445,-17.832993293053043,0
474,15,9,-14.046348278625445,-17.832993293053043,0
475,15,10,-13.046348278625445,-17.832993293053043,0
476,15,11,-12.046348278625445,-17.832993293053043,0
477,15,12,-11.046348278625445,-17.832993293053043,0
478,15,13,-10.046348278625445,-17.832993293053043,0
479,15,14,-9.046348278625445,-17.832993293053043,0
480,15,15,-8.046348278625445,-17.832993293053043,0
481,15,16,-7.0463482786254446,-17.832993293053043,0
482,15,17,-6.0463482786254446,-17.832993293053043,0
483,15,18,-5.0463482786254446,-17.832993293053043,0
484,15,19,-4.0463482786254446,-17.832993293053043,0
485,15,20,-3.0463482786254446,-17.832993293053043,0
486,15,21,-2.0463482786254446,-17.832993293053043,0
487,15,22,-1.0463482786254446,-17.832993293053043,1
488,15,23,-0.04634827862544455,-17.832993293053043,1
489,15,24,0.9536517213745554,-17.832993293053043,1
490,15,25,1.9536517213745554,-17.832993293053043,0
491,15,26,2.9536517213745554,-17.832993293053043,0
492,15,27,3.9536517213745554,-17.832993293053043,0
493,15,28,4.9536517213745554,-17.832993293053043,0
494,15,29,5.9536517213745554,-17.832993293053043,0
495,15,30,6.9536517213745554,-17.832993293053043,0
496,16,0,-23.046348278625445,-16.832993293053043,0
497,16,1,-22.046348278625445,-16.832993293053043,0
498,16,2,-21.046348278625445,-16.832993293053043,0
499,16,3,-20.046348278625445,-16.832993293053043,1
500,16,4,-19.046348278625445,-16.832993293053043,1
501,16,5,-18.046348278625445,-16.832993293053043,1
502,16,6,-17.046348278625445,-16.832993293053043,0
503,16,7,-16.046348278625445,-16.832993293053043,0
504,16,8,-15.046348278625445,-16.832993293053043,0
505,16,9,-14.046348278625445,-16.832993293053043,0
506,16,10,-13.046348278625445,-16.832993293053043,0
507,16,11,-12.046348278625445,-16.832993293053043,0
508,16,12,-11.046348278625445,-16.832993293053043,0
509,16,13,-10.046348278625445,-16.832993293053043,0
510,16,14,-9.046348278625445,-16.832993293053043,0
511,16,15,-8.046348278625445,-16.832993293053043,0
512,16,16,-7.0463482786254446,-16.832993293053043,0
513,16,17,-6.0463482786254446,-16.832993293053043,0
514,16,18,-5.0463482786254446,-16.832993293053043,0
515,16,19,-4.0463482786254446,-16.832993293053043,0
516,16,20,-3.0463482786254446,-16.832993293053043,0
517,16,21,-2.0463482786254446,-16.832993293053043,1
518,16,22,-1.0463482786254446,-16.832993293053043,1
519,16,23,-0.04634827862544455,-16.832993293053043,1
520,16,24,0.9536517213745554,-16.832993293053043,1
521,16,25,1.9536517213745554,-16.832993293053043,0
522,16,26,2.9536517213745554,-16.832993293053043,0
523,16,27,3.9536517213745554,-16.832993293053043,0
524,16,28,4.9536517213745554,-16.832993293053043,0
525,16,29,5.9536517213745554,-16.832993293053043,0
526,16,30,6.9536517213745554,-16.832993293053043,0
527,17,0,-23.046348278625445,-15.832993293053043,0
528,17,1,-22.046348278625445,-15.832993293053043,0
529,17,2,-21.046348278625445,-15.832993293053043,0
530,17,3,-20.046348278625445,-15.832993293053043,1
531,17,4,-19.046348278625445,-15.832993293053043,1
532,17,5,-18.046348278625445,-15.832993293053043,1
533,17,6,-17.046348278625445,-15.832993293053043,0
534,17,7,-16.046348278625445,-15.832993293053043,0
535,17,8,-15.046348278625445,-15.832993293053043,0
536,17,9,-14.046348278625445,-15.832993293053043,0
537,17,10,-13.046348278625445,-15.832993293053043,0
538,17,11,-12.046348278625445,-15.832993293053043,0
539,17,12,-11.046348278625445,-15.832993293053043,0
540,17,13,-10.046348278625445,-15.832993293053043,0
541,17,14,-9.046348278625445,-15.832993293053043,0
542,17,15,-8.046348278625445,-15.832993293053043,0
543,17,16,-7.0463482786254446,-15.832993293053043,0
544,17,17,-6.0463482786254446,-15.832993293053043,0
