frontlap,sidelap,step_x_m,step_y_m,num_waypoints,flight_time_s,flight_time_min
0.6,0.6,30.0,20.0,25,136.0,2.2666666666666666
0.6,0.7,22.500000000000004,20.0,35,155.0,2.5833333333333335
0.6,0.8,14.999999999999996,20.0,50,155.0,2.5833333333333335
0.6,0.9,7.499999999999998,20.0,90,144.58800749063505,2.4098001248439176
0.7,0.6,30.0,15.0,35,186.0,3.1
0.7,0.7,22.500000000000004,15.0,49,214.45584412271575,3.574264068711929
0.7,0.8,14.999999999999996,15.0,70,214.4558441227157,3.574264068711928
0.7,0.9,7.499999999999998,15.0,126,198.6246117974981,3.3104101966249684
0.8,0.6,30.0,9.999999999999996,50,258.0,4.3
0.8,0.7,22.500000000000004,9.999999999999996,70,302.44996147917595,5.040832691319599
0.8,0.8,14.999999999999996,9.999999999999996,100,302.4499614791759,5.040832691319598
0.8,0.9,7.499999999999998,9.999999999999996,180,277.5,4.625
0.9,0.6,30.0,4.999999999999998,90,449.0,7.483333333333333
0.9,0.7,22.500000000000004,4.999999999999998,126,539.7587202228624,8.99597867038104
0.9,0.8,14.999999999999996,4.999999999999998,180,539.7587202228623,8.995978670381039
0.9,0.9,7.499999999999998,4.999999999999998,324,489.64718584144373,8.16078643069073
