label,length_cells,geometric_length,value_sum,value_mean,value_max
plain_path_on_plain_sigma,199,198.0,108.93776613473892,0.547425960476075,0.647963285446167
plain_path_on_calib_sigma,199,198.0,99.93882597995892,0.5022051556781856,0.5866584905190564
calib_path_on_plain_sigma,199,198.0,108.93776613473892,0.547425960476075,0.647963285446167
calib_path_on_calib_sigma,199,198.0,99.93882597995892,0.5022051556781856,0.5866584905190564
