frame_idx,x,y,z
0,-0.9999802228978952,0.0010916424954618023,-0.006193716956581832
1,-0.42262995370826895,-0.5762586266941635,0.5711565522330437
2,-0.999980222897895,0.0010916424954615644,-0.006193716956582329
3,-1.577330492087519,0.5784419116850895,-0.5835439861462075
4,-0.9999802228978946,0.0010916424954630077,-0.006193716956581108
5,-0.9493658281915676,0.058684608252175995,-1.0032500008963883
6,-0.3720155590019475,-0.5186656609374642,-0.4258997317067712
7,0.2053347101876727,-1.0960159301271044,0.15145053748284587
8,0.7826849793772929,-1.6733661993167446,0.7288008066724628
9,1.3600352485669247,-2.2507164685063565,1.3061510758620969
10,1.9373855177565562,-2.828066737695968,1.8835013450517315
11,2.0705619020770967,-2.6576433299278506,0.9071715274470405
12,1.337344959308974,-2.2797528208469724,1.4724959281094947
13,0.6041280165408511,-1.9018623117660942,2.0378203287719487
14,-0.12908892622727175,-1.523971802685216,2.6031447294344026
15,-0.8623058689953946,-1.1460812936043379,3.1684691300968564
16,-1.5955228117635176,-0.7681907845234596,3.73379353075931
17,-1.226161236453093,-0.7822259261466395,2.8046137626391583
18,-1.959378179221216,-0.4043354170657613,3.369938163301612
19,-1.590016603910791,-0.418370558688941,2.44075839518146
20,-1.2206550286003661,-0.4324057003121207,1.5115786270613083
21,-0.8512934532899412,-0.4464408419353005,0.5823988589411564
22,-1.5845103960580642,-0.06855033285442247,1.1477232596036102
23,-1.2151488207476393,-0.0825854744776023,0.2185434914834583
24,-0.8457872454372146,-0.09662061610078226,-0.7106362766366935
25,-1.579004188205337,0.2812698929800965,-0.14531187597423934
26,-2.3122211309734597,0.6591604020609747,0.4200125246882145
27,-3.0454380737415825,1.037050911141853,0.9853369253506681
28,-3.7786550165097053,1.4149414202227317,1.5506613260131217
29,-4.511871959277828,1.7928319293036103,2.115985726675575
30,-5.245088902045951,2.1707224383844883,2.681310127338029
31,-4.875727327245975,2.156687295451233,1.752130359034755
32,-4.142510384698612,1.7787967853274147,1.1868059587831308
33,-3.40929344215125,1.4009062752035963,0.6214815585315067
34,-4.142510384698612,1.7787967853274147,1.1868059587831312
35,-3.7731488104309547,1.7647616434833004,0.2576261902518022
36,-3.4037872361632973,1.7507265016391864,-0.6715535782795269
