id,x,z
0,-23.046348278625445,-32.83299329305304
1,-22.046348278625445,-32.83299329305304
2,-21.046348278625445,-32.83299329305304
3,-20.046348278625445,-32.83299329305304
4,-19.046348278625445,-32.83299329305304
5,-18.046348278625445,-32.83299329305304
6,-17.046348278625445,-32.83299329305304
7,-16.046348278625445,-32.83299329305304
8,-15.046348278625445,-32.83299329305304
9,-14.046348278625445,-32.83299329305304
10,-13.046348278625445,-32.83299329305304
11,-12.046348278625445,-32.83299329305304
12,-11.046348278625445,-32.83299329305304
13,-10.046348278625445,-32.83299329305304
14,-9.046348278625445,-32.83299329305304
15,-8.046348278625445,-32.83299329305304
16,-7.0463482786254446,-32.83299329305304
17,-6.0463482786254446,-32.83299329305304
18,-5.0463482786254446,-32.83299329305304
19,-4.0463482786254446,-32.83299329305304
20,-3.0463482786254446,-32.83299329305304
21,-2.0463482786254446,-32.83299329305304
22,-1.0463482786254446,-32.83299329305304
23,-0.04634827862544455,-32.83299329305304
24,0.9536517213745554,-32.83299329305304
25,1.9536517213745554,-32.83299329305304
26,2.9536517213745554,-32.83299329305304
27,3.9536517213745554,-32.83299329305304
28,4.9536517213745554,-32.83299329305304
29,5.9536517213745554,-32.83299329305304
30,6.9536517213745554,-32.83299329305304
31,6.9536517213745554,-31.832993293053043
32,5.9536517213745554,-31.832993293053043
33,4.9536517213745554,-31.832993293053043
34,3.9536517213745554,-31.832993293053043
35,2.9536517213745554,-31.832993293053043
36,1.9536517213745554,-31.832993293053043
37,0.9536517213745554,-31.832993293053043
38,-0.04634827862544455,-31.832993293053043
39,-1.0463482786254446,-31.832993293053043
40,-2.0463482786254446,-31.832993293053043
41,-3.0463482786254446,-31.832993293053043
42,-4.0463482786254446,-31.832993293053043
43,-5.0463482786254446,-31.832993293053043
44,-6.0463482786254446,-31.832993293053043
45,-7.0463482786254446,-31.832993293053043
46,-8.046348278625445,-31.832993293053043
47,-9.046348278625445,-31.832993293053043
48,-10.046348278625445,-31.832993293053043
49,-11.046348278625445,-31.832993293053043
50,-12.046348278625445,-31.832993293053043
51,-13.046348278625445,-31.832993293053043
52,-14.046348278625445,-31.832993293053043
53,-15.046348278625445,-31.832993293053043
54,-16.046348278625445,-31.832993293053043
55,-17.046348278625445,-31.832993293053043
56,-18.046348278625445,-31.832993293053043
57,-19.046348278625445,-31.832993293053043
58,-20.046348278625445,-31.832993293053043
59,-21.046348278625445,-31.832993293053043
60,-22.046348278625445,-31.832993293053043
61,-23.046348278625445,-31.832993293053043
