row,col,center_x,center_z,priority
0,0,-23.046348278625445,-32.83299329305304,1.0
0,1,-22.046348278625445,-32.83299329305304,1.0
0,2,-21.046348278625445,-32.83299329305304,1.0
0,3,-20.046348278625445,-32.83299329305304,1.0
0,4,-19.046348278625445,-32.83299329305304,1.0
0,5,-18.046348278625445,-32.83299329305304,1.0
0,6,-17.046348278625445,-32.83299329305304,1.0
0,7,-16.046348278625445,-32.83299329305304,1.0
0,8,-15.046348278625445,-32.83299329305304,1.0
0,9,-14.046348278625445,-32.83299329305304,1.0
0,10,-13.046348278625445,-32.83299329305304,1.0
0,11,-12.046348278625445,-32.83299329305304,1.0
0,12,-11.046348278625445,-32.83299329305304,1.0
0,13,-10.046348278625445,-32.83299329305304,1.0
0,14,-9.046348278625445,-32.83299329305304,1.0
0,15,-8.046348278625445,-32.83299329305304,1.0
0,16,-7.0463482786254446,-32.83299329305304,1.0
0,17,-6.0463482786254446,-32.83299329305304,1.0
0,18,-5.0463482786254446,-32.83299329305304,1.0
0,19,-4.0463482786254446,-32.83299329305304,1.0
0,20,-3.0463482786254446,-32.83299329305304,1.0
0,21,-2.0463482786254446,-32.83299329305304,1.0
0,22,-1.0463482786254446,-32.83299329305304,1.0
0,23,-0.04634827862544455,-32.83299329305304,1.0
0,24,0.9536517213745554,-32.83299329305304,1.0
0,25,1.9536517213745554,-32.83299329305304,1.0
0,26,2.9536517213745554,-32.83299329305304,1.0
0,27,3.9536517213745554,-32.83299329305304,1.0
0,28,4.9536517213745554,-32.83299329305304,1.0
0,29,5.9536517213745554,-32.83299329305304,1.0
0,30,6.9536517213745554,-32.83299329305304,1.0
1,0,-23.046348278625445,-31.832993293053043,1.0
1,1,-22.046348278625445,-31.832993293053043,1.0
1,2,-21.046348278625445,-31.832993293053043,1.0
1,3,-20.046348278625445,-31.832993293053043,1.0
1,4,-19.046348278625445,-31.832993293053043,1.0
1,5,-18.046348278625445,-31.832993293053043,1.0
1,6,-17.046348278625445,-31.832993293053043,1.0
1,7,-16.046348278625445,-31.832993293053043,1.0
1,8,-15.046348278625445,-31.832993293053043,1.0
1,9,-14.046348278625445,-31.832993293053043,1.0
1,10,-13.046348278625445,-31.832993293053043,1.0
1,11,-12.046348278625445,-31.832993293053043,1.0
1,12,-11.046348278625445,-31.832993293053043,1.0
1,13,-10.046348278625445,-31.832993293053043,1.0
1,14,-9.046348278625445,-31.832993293053043,1.0
1,15,-8.046348278625445,-31.832993293053043,1.0
1,16,-7.0463482786254446,-31.832993293053043,1.0
