x,y
13,29
4,33
29,13
18,37
1,28
22,26
1,7
25,28
29,16
27,9
11,23
6,7
14,33
16,34
12,4
9,24
3,36
22,2
1,34
13,0
30,30
12,39
19,9
25,27
3,24
21,39
18,33
26,26
0,36
12,38
